,2OPT_GREEDY,2OPT_GREEDY_ITER,2OPT_EXTR_MIL,2OPT_GRASP,2OPT_GRASP_ITER
../data/heuristics/ali535.tsp,221106.00_0.90,217872.00_17.56,226579.00_15.84,224074.00_0.81,220174.00_120.75
../data/heuristics/p654.tsp,33245.00_0.53,33245.00_5.70,38203.00_4.48,37883.00_0.29,36779.00_120.56
../data/heuristics/rat783.tsp,9336.00_0.30,9073.00_10.45,9841.00_7.60,9718.00_0.36,9696.00_120.34
../data/heuristics/gr666.tsp,313551.00_1.25,299451.00_31.85,328849.00_30.25,327233.00_1.03,317133.00_121.18
../data/heuristics/d657.tsp,48940.00_0.28,48940.00_5.88,55216.00_4.61,54058.00_0.32,52898.00_120.25
../data/heuristics/pr439.tsp,108764.00_0.14,104483.00_1.72,118724.00_1.39,118792.00_0.11,113822.00_120.11
../data/heuristics/rat575.tsp,6955.00_0.22,7124.00_3.91,7543.00_3.01,7387.00_0.19,7310.00_120.19
../data/heuristics/u724.tsp,43362.00_0.34,43507.00_7.83,47423.00_6.32,45855.00_0.31,45210.00_120.24
../data/heuristics/rd400.tsp,15937.00_0.06,15588.00_1.35,16891.00_1.02,16384.00_0.10,16391.00_120.08
../data/heuristics/u574.tsp,38022.00_0.19,37760.00_3.77,41171.00_3.00,40677.00_0.21,40281.00_120.22
../data/heuristics/vm1084.tsp,250519.00_0.77,249916.00_27.51,262928.00_20.40,263995.00_0.78,260734.00_120.67
../data/heuristics/att532.tsp,28548.00_0.28,28213.00_5.84,31368.00_4.76,29346.00_0.37,29256.00_120.19
../data/heuristics/d493.tsp,33936.00_0.12,35592.00_2.50,38695.00_1.96,38375.00_0.16,37372.00_120.18
../data/heuristics/lin318.tsp,40143.00_0.07,42396.00_0.68,45940.00_0.54,44781.00_0.07,44564.00_120.05
../data/heuristics/pr1002.tsp,277775.00_0.59,264235.00_19.86,285094.00_16.41,284603.00_0.66,282086.00_120.68
../data/heuristics/gr431.tsp,175328.00_0.59,175328.00_8.91,184026.00_9.29,187601.00_0.51,185160.00_120.48
../data/heuristics/pcb442.tsp,53672.00_0.11,49721.00_1.86,56141.00_1.46,55651.00_0.13,54057.00_120.11
../data/heuristics/dsj1000.tsp,19669181.00_0.87,19727711.00_22.16,20760775.00_17.20,20567073.00_0.81,20413842.00_120.68
