,GREEDY,GREEDY_ITER,EXTR_MILE,GRASP,GRASP_ITER
../data/heuristics/ali535.tsp,247028.00_0.03,235450.00_16.76,243778.00_15.99,293089.00_0.03,252375.00_300.00
../data/heuristics/p654.tsp,39937.00_0.01,39937.00_5.24,40123.00_4.30,70241.00_0.01,44185.00_300.01
../data/heuristics/rat783.tsp,10920.00_0.01,10371.00_10.45,10399.00_7.50,11948.00_0.01,11080.00_300.01
../data/heuristics/gr666.tsp,354578.00_0.05,341056.00_31.11,341997.00_29.31,392634.00_0.05,369805.00_300.02
../data/heuristics/d657.tsp,57469.00_0.01,57469.00_5.99,57879.00_4.73,72642.00_0.01,61593.00_300.01
../data/heuristics/pr439.tsp,124297.00_0.00,122554.00_1.63,127715.00_1.28,155591.00_0.00,133736.00_300.00
../data/heuristics/rat575.tsp,8236.00_0.01,7878.00_3.67,8079.00_2.88,9830.00_0.01,8281.00_300.00
../data/heuristics/u724.tsp,50896.00_0.01,49762.00_7.62,49944.00_5.97,59945.00_0.01,54215.00_300.01
../data/heuristics/rd400.tsp,18473.00_0.00,17808.00_1.29,18187.00_0.97,21589.00_0.00,18944.00_300.00
../data/heuristics/u574.tsp,48199.00_0.01,43838.00_3.57,43261.00_2.88,53261.00_0.01,46187.00_300.00
../data/heuristics/vm1084.tsp,294134.00_0.02,284437.00_26.14,274081.00_19.37,367366.00_0.02,319792.00_300.01
../data/heuristics/att532.tsp,33470.00_0.01,32507.00_5.52,33250.00_4.45,37514.00_0.01,33393.00_300.00
../data/heuristics/d493.tsp,38626.00_0.00,38053.00_2.34,40330.00_1.80,51344.00_0.00,40825.00_300.00
../data/heuristics/lin318.tsp,49153.00_0.00,47640.00_0.61,49497.00_0.48,60665.00_0.00,50235.00_300.00
../data/heuristics/pr1002.tsp,324911.00_0.02,304268.00_19.27,302240.00_15.18,360390.00_0.02,338747.00_300.01
../data/heuristics/gr431.tsp,200185.00_0.02,200185.00_8.36,197761.00_8.07,224798.00_0.02,206460.00_300.00
../data/heuristics/pcb442.tsp,61532.00_0.00,57581.00_1.70,61170.00_1.32,72455.00_0.00,62820.00_300.00
../data/heuristics/dsj1000.tsp,23441799.00_0.02,21990918.00_21.31,21991699.00_16.05,25984939.00_0.02,24483212.00_300.02
